league_id,hero_name,battle_count,win_rate,avg_kda,ban_rate,pick_rate
20260001,王昭君,44,0.5682,5.925,0.0558,0.0768
20260001,关羽,102,0.5392,4.1549,0.4607,0.178
20260001,西施,57,0.3684,4.3088,0.1396,0.0995
20260001,海诺,27,0.4815,4.1111,0.0401,0.0471
20260001,杨戬,92,0.5326,4.5272,0.1344,0.1606
20260001,不知火舞,89,0.4719,3.6539,0.2478,0.1553
20260001,后羿,17,0.5882,4.8176,0.0593,0.0297
20260001,庄周,12,0.5833,6.8083,0.0244,0.0209
20260001,哪吒,39,0.4872,4.1923,0.1798,0.0681
20260001,苏烈,181,0.4972,4.595,0.3473,0.3159
20260001,达摩,52,0.5,3.0077,0.0279,0.0908
20260001,鲁班大师,103,0.5243,5.4796,0.7644,0.1763
20260001,亚连,1,1.0,13.0,0.0,0.0017
20260001,影,69,0.4638,3.4855,0.0384,0.1204
20260001,嬴政,68,0.5147,5.0338,0.0873,0.1187
20260001,钟馗,6,0.8333,6.9833,0.0105,0.0105
20260001,大乔,10,0.6,6.4,0.0122,0.0175
20260001,墨子,29,0.4828,4.2138,0.0436,0.0506
20260001,李元芳,11,0.5455,4.5909,0.0052,0.0192
20260001,鲁班七号,12,0.3333,2.75,0.0471,0.0209
20260001,项羽,6,0.1667,2.2833,0.0,0.0105
20260001,戈娅,193,0.5648,5.3632,0.0942,0.3368
20260001,杨玉环,38,0.3947,4.0237,0.014,0.0663
20260001,裴擒虎,87,0.4598,3.769,0.1187,0.1518
20260001,姜子牙,35,0.4571,5.12,0.0175,0.0611
20260001,元歌,4,0.5,4.325,0.0035,0.007
20260001,诸葛亮,2,1.0,7.5,0.0,0.0035
20260001,朵莉亚,28,0.5,5.7286,0.0192,0.0489
20260001,梦奇,9,0.2222,2.2556,0.0017,0.0157
20260001,吕布,18,0.6667,4.0333,0.0524,0.0314
20260001,曜,5,0.2,2.6,0.0017,0.0087
20260001,弈星,5,0.8,4.6,0.0,0.0087
20260001,公孙离,136,0.4706,4.1353,0.1326,0.2373
20260001,安琪拉,51,0.3922,4.1961,0.0489,0.089
20260001,海月,91,0.4615,3.1319,0.3717,0.1588
20260001,貂蝉,1,0.0,0.5,0.0,0.0017
20260001,露娜,4,0.5,3.1,0.0017,0.007
20260001,虞姬,24,0.375,3.9625,0.014,0.0419
20260001,宫本武藏,29,0.4828,3.0586,0.164,0.0506
20260001,狄仁杰,69,0.4348,4.1986,0.1152,0.1204
20260001,猪八戒,13,0.3846,2.8308,0.0017,0.0227
20260001,嫦娥,51,0.4706,3.9784,0.0349,0.089
20260001,小乔,129,0.4961,4.945,0.1344,0.2251
20260001,苍,94,0.4894,4.6191,0.0297,0.164
20260001,金蝉,8,0.25,2.775,0.0035,0.014
20260001,橘右京,110,0.5364,4.23,0.1728,0.192
20260001,大司命,133,0.4662,4.3895,0.3211,0.2304
