match_id,battle_id,order,camp,type,hero
2026011401,48251408_30_1768371100,0,1,ban,狄仁杰
2026011401,48251408_30_1768371100,1,2,ban,鲁班大师
2026011401,48251408_30_1768371100,2,1,ban,狂铁
2026011401,48251408_30_1768371100,3,2,ban,盾山
2026011401,48251408_30_1768371100,4,1,pick,空空儿
2026011401,48251408_30_1768371100,5,2,pick,张飞
2026011401,48251408_30_1768371100,6,2,pick,公孙离
2026011401,48251408_30_1768371100,7,1,pick,戈娅
2026011401,48251408_30_1768371100,8,1,pick,小乔
2026011401,48251408_30_1768371100,9,2,pick,沈梦溪
2026011401,48251408_30_1768371100,10,2,ban,橘右京
2026011401,48251408_30_1768371100,11,1,ban,哪吒
2026011401,48251408_30_1768371100,12,2,ban,大司命
2026011401,48251408_30_1768371100,13,1,ban,镜
2026011401,48251408_30_1768371100,14,2,ban,曹操
2026011401,48251408_30_1768371100,15,1,ban,关羽
2026011401,48251408_30_1768371100,16,2,pick,裴擒虎
2026011401,48251408_30_1768371100,17,1,pick,达摩
2026011401,48251408_30_1768371100,18,1,pick,暃
2026011401,48251408_30_1768371100,19,2,pick,夏洛特
2026011403,1222656528_8_1768400514,0,1,ban,鲁班大师
2026011403,1222656528_8_1768400514,1,2,ban,盾山
2026011403,1222656528_8_1768400514,2,1,ban,狂铁
2026011403,1222656528_8_1768400514,3,2,ban,戈娅
2026011403,1222656528_8_1768400514,4,1,pick,公孙离
2026011403,1222656528_8_1768400514,5,2,pick,橘右京
2026011403,1222656528_8_1768400514,6,2,pick,空空儿
2026011403,1222656528_8_1768400514,7,1,pick,沈梦溪
2026011403,1222656528_8_1768400514,8,1,pick,张飞
2026011403,1222656528_8_1768400514,9,2,pick,蚩奼
2026011403,1222656528_8_1768400514,10,2,ban,元流之子(坦克)
2026011403,1222656528_8_1768400514,11,1,ban,小乔
2026011403,1222656528_8_1768400514,12,2,ban,司空震
2026011403,1222656528_8_1768400514,13,1,ban,海月
2026011403,1222656528_8_1768400514,14,2,ban,大司命
2026011403,1222656528_8_1768400514,15,1,ban,曹操
2026011403,1222656528_8_1768400514,16,2,pick,马超
2026011403,1222656528_8_1768400514,17,1,pick,宫本武藏
2026011403,1222656528_8_1768400514,18,1,pick,夏洛特
2026011403,1222656528_8_1768400514,19,2,pick,嫦娥
2026011403,1222656528_6_1768396472,0,1,ban,狄仁杰
2026011403,1222656528_6_1768396472,1,2,ban,盾山
2026011403,1222656528_6_1768396472,2,1,ban,狂铁
2026011403,1222656528_6_1768396472,3,2,ban,戈娅
2026011403,1222656528_6_1768396472,4,1,pick,鲁班大师
2026011403,1222656528_6_1768396472,5,2,pick,敖隐
2026011403,1222656528_6_1768396472,6,2,pick,元流之子(辅助)
2026011403,1222656528_6_1768396472,7,1,pick,蒙恬
2026011403,1222656528_6_1768396472,8,1,pick,裴擒虎
2026011403,1222656528_6_1768396472,9,2,pick,大司命
2026011403,1222656528_6_1768396472,10,2,ban,鲁班七号
2026011403,1222656528_6_1768396472,11,1,ban,海月
2026011403,1222656528_6_1768396472,12,2,ban,沈梦溪
2026011403,1222656528_6_1768396472,13,1,ban,西施
2026011403,1222656528_6_1768396472,14,2,ban,王昭君
2026011403,1222656528_6_1768396472,15,1,ban,蚩奼
2026011403,1222656528_6_1768396472,16,2,pick,夏洛特
2026011403,1222656528_6_1768396472,17,1,pick,扁鹊
2026011403,1222656528_6_1768396472,18,1,pick,安琪拉
2026011403,1222656528_6_1768396472,19,2,pick,女娲
2026011401,48251408_34_1768378907,0,1,ban,大司命
2026011401,48251408_34_1768378907,1,2,ban,鲁班大师
2026011401,48251408_34_1768378907,2,1,ban,杨戬
2026011401,48251408_34_1768378907,3,2,ban,狂铁
2026011401,48251408_34_1768378907,4,1,pick,盾山
2026011401,48251408_34_1768378907,5,2,pick,蚩奼
2026011401,48251408_34_1768378907,6,2,pick,苏烈
2026011401,48251408_34_1768378907,7,1,pick,艾琳
2026011401,48251408_34_1768378907,8,1,pick,女娲
2026011401,48251408_34_1768378907,9,2,pick,不知火舞
2026011401,48251408_34_1768378907,10,2,ban,蒙恬
2026011401,48251408_34_1768378907,11,1,ban,关羽
2026011401,48251408_34_1768378907,12,2,ban,铠
2026011401,48251408_34_1768378907,13,1,ban,镜
2026011401,48251408_34_1768378907,14,2,ban,夏侯惇
2026011401,48251408_34_1768378907,15,1,ban,曹操
2026011401,48251408_34_1768378907,16,2,pick,敖隐
2026011401,48251408_34_1768378907,17,1,pick,猪八戒
2026011401,48251408_34_1768378907,18,1,pick,影
2026011401,48251408_34_1768378907,19,2,pick,梦奇
2026011503,48251408_48_1768479147,0,1,ban,狄仁杰
2026011503,48251408_48_1768479147,1,2,ban,鲁班大师
2026011503,48251408_48_1768479147,2,1,ban,关羽
2026011503,48251408_48_1768479147,3,2,ban,盾山
2026011503,48251408_48_1768479147,4,1,pick,公孙离
2026011503,48251408_48_1768479147,5,2,pick,戈娅
2026011503,48251408_48_1768479147,6,2,pick,空空儿
2026011503,48251408_48_1768479147,7,1,pick,苏烈
2026011503,48251408_48_1768479147,8,1,pick,沈梦溪
2026011503,48251408_48_1768479147,9,2,pick,小乔
2026011503,48251408_48_1768479147,10,2,ban,宫本武藏
2026011503,48251408_48_1768479147,11,1,ban,暃
2026011503,48251408_48_1768479147,12,2,ban,元流之子(坦克)
2026011503,48251408_48_1768479147,13,1,ban,镜
2026011503,48251408_48_1768479147,14,2,ban,司空震
2026011503,48251408_48_1768479147,15,1,ban,橘右京
2026011503,48251408_48_1768479147,16,2,pick,裴擒虎
2026011503,48251408_48_1768479147,17,1,pick,夏洛特
2026011503,48251408_48_1768479147,18,1,pick,云缨
2026011503,48251408_48_1768479147,19,2,pick,狂铁
2026012301,836780560_3_1769148163,0,1,ban,狄仁杰
2026012301,836780560_3_1769148163,1,2,ban,鲁班大师
2026012301,836780560_3_1769148163,2,1,ban,关羽
2026012301,836780560_3_1769148163,3,2,ban,沈梦溪
2026012301,836780560_3_1769148163,4,1,pick,盾山
2026012301,836780560_3_1769148163,5,2,pick,女娲
2026012301,836780560_3_1769148163,6,2,pick,狂铁
2026012301,836780560_3_1769148163,7,1,pick,艾琳
2026012301,836780560_3_1769148163,8,1,pick,夏洛特
2026012301,836780560_3_1769148163,9,2,pick,空空儿
2026012301,836780560_3_1769148163,10,2,ban,海诺
2026012301,836780560_3_1769148163,11,1,ban,蚩奼
2026012301,836780560_3_1769148163,12,2,ban,杨玉环
2026012301,836780560_3_1769148163,13,1,ban,公孙离
2026012301,836780560_3_1769148163,14,2,ban,武则天
2026012301,836780560_3_1769148163,15,1,ban,镜
2026012301,836780560_3_1769148163,16,2,pick,敖隐
2026012301,836780560_3_1769148163,17,1,pick,猪八戒
2026012301,836780560_3_1769148163,18,1,pick,小乔
2026012301,836780560_3_1769148163,19,2,pick,哪吒
2026011503,48251408_50_1768483409,0,1,ban,空空儿
2026011503,48251408_50_1768483409,1,2,ban,盾山
2026011503,48251408_50_1768483409,2,1,ban,元流之子(辅助)
2026011503,48251408_50_1768483409,3,2,ban,鲁班大师
2026011503,48251408_50_1768483409,4,1,pick,女娲
2026011503,48251408_50_1768483409,5,2,pick,元流之子(坦克)
2026011503,48251408_50_1768483409,6,2,pick,蚩奼
2026011503,48251408_50_1768483409,7,1,pick,敖隐
2026011503,48251408_50_1768483409,8,1,pick,少司缘
2026011503,48251408_50_1768483409,9,2,pick,马超
2026011503,48251408_50_1768483409,10,2,ban,蒙恬
2026011503,48251408_50_1768483409,11,1,ban,不知火舞
2026011503,48251408_50_1768483409,12,2,ban,司空震
2026011503,48251408_50_1768483409,13,1,ban,张良
2026011503,48251408_50_1768483409,14,2,ban,夏洛特
2026011503,48251408_50_1768483409,15,1,ban,嬴政
2026011503,48251408_50_1768483409,16,2,pick,安琪拉
2026011503,48251408_50_1768483409,17,1,pick,夏侯惇
2026011503,48251408_50_1768483409,18,1,pick,老夫子
2026011503,48251408_50_1768483409,19,2,pick,东皇太一
2026011503,48251408_51_1768485753,0,1,ban,狄仁杰
2026011503,48251408_51_1768485753,1,2,ban,盾山
2026011503,48251408_51_1768485753,2,1,ban,公孙离
2026011503,48251408_51_1768485753,3,2,ban,鲁班大师
2026011503,48251408_51_1768485753,4,1,pick,空空儿
2026011503,48251408_51_1768485753,5,2,pick,朵莉亚
2026011503,48251408_51_1768485753,6,2,pick,杨戬
2026011503,48251408_51_1768485753,7,1,pick,女娲
2026011503,48251408_51_1768485753,8,1,pick,敖隐
2026011503,48251408_51_1768485753,9,2,pick,马超
2026011503,48251408_51_1768485753,10,2,ban,老夫子
2026011503,48251408_51_1768485753,11,1,ban,不知火舞
2026011503,48251408_51_1768485753,12,2,ban,司空震
2026011503,48251408_51_1768485753,13,1,ban,海诺
2026011503,48251408_51_1768485753,14,2,ban,蒙恬
2026011503,48251408_51_1768485753,15,1,ban,蚩奼
2026011503,48251408_51_1768485753,16,2,pick,李元芳
2026011503,48251408_51_1768485753,17,1,pick,姬小满
2026011503,48251408_51_1768485753,18,1,pick,宫本武藏
2026011503,48251408_51_1768485753,19,2,pick,武则天
2026011403,1222656528_5_1768394596,0,1,ban,狄仁杰
2026011403,1222656528_5_1768394596,1,2,ban,鲁班大师
2026011403,1222656528_5_1768394596,2,1,ban,苏烈
2026011403,1222656528_5_1768394596,3,2,ban,蚩奼
2026011403,1222656528_5_1768394596,4,1,pick,盾山
2026011403,1222656528_5_1768394596,5,2,pick,太乙真人
2026011403,1222656528_5_1768394596,6,2,pick,孙尚香
2026011403,1222656528_5_1768394596,7,1,pick,艾琳
2026011403,1222656528_5_1768394596,8,1,pick,沈梦溪
2026011403,1222656528_5_1768394596,9,2,pick,西施
2026011403,1222656528_5_1768394596,10,2,ban,元流之子(坦克)
2026011403,1222656528_5_1768394596,11,1,ban,关羽
2026011403,1222656528_5_1768394596,12,2,ban,暃
2026011403,1222656528_5_1768394596,13,1,ban,狂铁
2026011403,1222656528_5_1768394596,14,2,ban,曹操
2026011403,1222656528_5_1768394596,15,1,ban,司空震
2026011403,1222656528_5_1768394596,16,2,pick,镜
2026011403,1222656528_5_1768394596,17,1,pick,蒙恬
2026011403,1222656528_5_1768394596,18,1,pick,裴擒虎
2026011403,1222656528_5_1768394596,19,2,pick,吕布
2026011803,1222656528_12_1768738546,0,1,ban,狄仁杰
2026011803,1222656528_12_1768738546,1,2,ban,鲁班大师
2026011803,1222656528_12_1768738546,2,1,ban,海月
2026011803,1222656528_12_1768738546,3,2,ban,盾山
2026011803,1222656528_12_1768738546,4,1,pick,公孙离
2026011803,1222656528_12_1768738546,5,2,pick,戈娅
2026011803,1222656528_12_1768738546,6,2,pick,空空儿
2026011803,1222656528_12_1768738546,7,1,pick,海诺
2026011803,1222656528_12_1768738546,8,1,pick,狂铁
2026011803,1222656528_12_1768738546,9,2,pick,橘右京
2026011803,1222656528_12_1768738546,10,2,ban,张飞
2026011803,1222656528_12_1768738546,11,1,ban,小乔
2026011803,1222656528_12_1768738546,12,2,ban,宫本武藏
2026011803,1222656528_12_1768738546,13,1,ban,关羽
2026011803,1222656528_12_1768738546,14,2,ban,杨戬
2026011803,1222656528_12_1768738546,15,1,ban,曹操
2026011803,1222656528_12_1768738546,16,2,pick,影
2026011803,1222656528_12_1768738546,17,1,pick,廉颇
2026011803,1222656528_12_1768738546,18,1,pick,暃
2026011803,1222656528_12_1768738546,19,2,pick,沈梦溪
2026011701,48251408_66_1768633817,0,1,ban,元流之子(辅助)
2026011701,48251408_66_1768633817,1,2,ban,大司命
2026011701,48251408_66_1768633817,2,1,ban,苏烈
2026011701,48251408_66_1768633817,3,2,ban,盾山
2026011701,48251408_66_1768633817,4,1,pick,鲁班大师
2026011701,48251408_66_1768633817,5,2,pick,张飞
2026011701,48251408_66_1768633817,6,2,pick,狄仁杰
2026011701,48251408_66_1768633817,7,1,pick,裴擒虎
2026011701,48251408_66_1768633817,8,1,pick,狂铁
2026011701,48251408_66_1768633817,9,2,pick,橘右京
2026011701,48251408_66_1768633817,10,2,ban,鲁班七号
2026011701,48251408_66_1768633817,11,1,ban,关羽
2026011701,48251408_66_1768633817,12,2,ban,艾琳
2026011701,48251408_66_1768633817,13,1,ban,吕布
2026011701,48251408_66_1768633817,14,2,ban,海月
2026011701,48251408_66_1768633817,15,1,ban,不知火舞
2026011701,48251408_66_1768633817,16,2,pick,夏洛特
2026011701,48251408_66_1768633817,17,1,pick,敖隐
